SongID,CategoryID,SongGrade,SongTitle
248,1,4.0625,The Thrill is Gone
250,1,2.7916666666666665,Crazy Blues
251,1,2.8958333333333335,Hellhound On My Trail
252,1,3.25,Stormy Monday
253,2,3.4722222222222223,Four Seasons
254,2,3.0681818181818183,Brandenburg Concerto 3
255,2,3.0833333333333335,Symphony 5
256,2,2.0555555555555554,Trout Quintet
257,2,2.45,Rhapsody in Blue
258,3,2.8333333333333335,The Devil Went Down to Georgia
259,3,3.0,Im So Lonesome I Could Cry
260,3,3.8,I Walk the Line
261,3,2.7916666666666665,Stand By Your Man
262,3,2.6944444444444446,Flowers On The Wall
263,4,3.875,Stayin Alive
264,4,3.1785714285714284,Good Times
265,4,3.7916666666666665,I Will Survive
266,4,3.2222222222222223,Funkytown
267,4,3.5625,YMCA
268,5,1.8,Dear Mama
269,5,2.375,Gangsta Paradise
270,5,1.4583333333333333,Hypnotize
271,5,1.4375,Its Like That
272,5,1.95,Rappers Delight
273,6,3.0208333333333335,Moanin
274,6,2.9642857142857144,Giant Steps
275,6,2.125,Potato Head Blues
276,6,3.0555555555555554,So What
277,6,3.1,Straight No Chaser
278,7,1.71875,Pursuit Of Vikings
279,7,1.5833333333333333,Apocalypse
280,7,1.8,The Trooper
281,7,2.25,Master Of Puppets
282,7,1.96875,Cemetery Gates
283,8,3.46875,Dancing Queen
284,8,2.40625,Toxic
285,8,2.15,Paparazzi
286,8,2.5625,Like A Prayer
287,8,2.95,Billie Jean
288,9,3.25,I Shot The Sheriff
289,9,4.083333333333333,No Woman No Cry
290,9,3.4,Israelites
291,9,3.175,Satta Massagana
292,9,3.0,Pressure Drop
293,10,2.9166666666666665,You Shook Me All Night Long
294,10,3.375,Highway Star
295,10,3.475,Sultans of Swing
296,10,2.5833333333333335,Purple Haze
297,10,3.25,House of the Rising Sun
249,1,3.375,I Cant Quit You Baby
691,4,1.125,Disco Pogo
707,10,2.65625,If Today Was Your Last Day (Album Version)
729,5,1.53125,Alles wird gut - Album Version
674,4,2.0357142857142856,TiK ToK
745,4,1.9642857142857142,Das Geht Ab (Wir Feiern Die Ganze Nacht)
675,8,2.5,I Like - Jost and Grubert
676,8,2.3,Alors On Danse
677,8,3.0,Fireflies - Album Version
678,8,2.46875,Fight For This Love
680,8,2.0357142857142856,Bad Romance
681,8,3.0625,Dont Tell Me That Its Over
682,8,2.142857142857143,Geboren um zu leben
683,8,2.5714285714285716,I Will Love You Monday (365)
684,8,2.4545454545454546,Wishing You Well - Radio Version
685,8,2.8333333333333335,All The Right Moves
686,8,2.575,Monsta
687,8,2.625,If We Ever Meet Again (Featuring Katy Perry)
688,8,2.5,I Gotta Feeling - Album Version
689,8,3.875,Heavy Cross - Album Version
690,8,1.9444444444444444,Rude Boy - Album Version
692,8,2.09375,Rude Boy - Explicit Version
693,8,1.5357142857142858,Spinner
694,8,2.1,Memories (Featuring Kid Cudi)
695,8,1.6,Whatcha Say - Main Version
696,8,2.0,Meet Me Halfway - Album Version
697,8,1.875,Bad Boys
698,8,2.392857142857143,Einer von Zweien
700,8,2.392857142857143,Undisclosed Desires - Album Version
701,8,1.5714285714285714,Eiskalt
702,8,1.9166666666666667,Monday Morning - Album Version
679,8,2.28125,Replay (Album Version)
699,8,2.607142857142857,Morning After Dark (Featuring Nelly Furtado)
703,8,2.8333333333333335,Pflaster
704,8,2.0,Russian Roulette - Album Version
705,8,2.0,Rock That Body - Album Version
706,8,2.15,Hey
709,8,1.6666666666666667,Release Me
710,8,1.9285714285714286,This Is My Time (Club Edit)
712,8,3.125,Morning Sun
715,8,2.5,Secrets
716,8,1.5625,Halte durch
719,8,2.7222222222222223,Neopolitan Dreams
720,8,3.5625,Everybody Hurts
721,8,1.8571428571428572,Krieger des Lichts - Single Version
722,8,1.8863636363636365,One World One Flame
723,8,1.4166666666666667,Try Sleeping With A Broken Heart
724,8,2.25,Hoffnung
725,8,2.1,Bad Romance - Radio Edit
726,8,2.25,Bad Influence - Main Version
708,4,2.5833333333333335,Moonlight Shadow
711,4,1.375,Feels Like Im Dancin (Original Mix)
713,8,1.7916666666666667,Sexy Bitch (Featuring Akon)
717,8,1.9642857142857142,If We Ever Meet Again - International Radio
727,8,1.9285714285714286,Alles kann besser werde
718,8,1.90625,Sky And Sand
728,8,1.1590909090909092,Ich bau dir ein Schloss - Wolken Mix
714,5,2.2857142857142856,Empire State Of Mind [Jay-Z + Alicia Keys]
730,8,2.09375,Lass mich nie mehr los - Studio Version
731,8,1.34375,Eingeliebt - ausgeliebt
733,8,2.0,nemeyer
734,8,1.8928571428571428,Mein Stern
735,8,2.25,Time to Wonder (Club Mix)
736,8,2.4375,Hallelujah
737,8,1.9285714285714286,Einer von Zweien - Radio Version
739,8,1.6590909090909092,One Love (Featuring Estelle)
740,8,1.1666666666666667,Into The Light
741,8,1.84375,Blah Blah Blah
743,8,1.95,Alice
744,8,2.1666666666666665,If A Song Could Get Me You
746,8,3.4722222222222223,Foundations - Full Explicit Version
747,8,2.2857142857142856,Hoffnung - Single Version
748,8,1.6428571428571428,I Cant Dance Alone [feat. Ross Antony]
750,8,2.5,If You Tolerate This (Club Mix)
751,8,2.40625,Youve Got The Love
753,8,2.107142857142857,Gypsy - Album Version
755,8,1.6785714285714286,An deiner Seite
757,8,1.8125,Go - Single Version
749,4,2.0625,Rocket
732,8,1.8125,Fur immer
738,8,1.45,Du bist so gut fur mich (Radio Edit)
742,8,3.0,In My Head (Album Version)
752,8,2.3214285714285716,Hold My Hand (Original Version)
754,8,2.2,Young Forever [Jay-Z + Mr Hudson]
756,4,1.15,Feel It
759,8,1.71875,Jein (Radio Edit)
761,8,2.0625,Paparazzi
760,10,3.0555555555555554,Superman Tonight - Album Version
762,4,1.875,Narcotic
758,8,2.0714285714285716,Closer To Heaven
